Cuisine,Ingredients,Image,Url
【愛妻飯盒】韓式拌飯 Bibimbap,{白飯:一碗}{香菇:數朵}{紅蘿蔔:1/2條}{小黃瓜:2條}{豆芽菜:100g}{蒜頭:數瓣}{白芝麻:1匙}{豬絞肉:100g}{韓式辣椒醬:1匙}{醬油:2匙}{糖:2匙}{鹽:1匙}{香油:3匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/20566/large_4c3787a243b82921.jpg,https://icook.tw/recipes/20566
【史迪奇陪你過聖誕】造型便當,{白米:1杯}{味淋:1大匙}{蝶豆花:適量}{水:少許}{花椰菜:10朵}{火腿:3片}{蟹味棒:2條}{甜椒玉米粒:適量}{小黃瓜:1根}{小番茄:2顆}{海苔:1片}{起司:1片},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279728/large_e3d93130b86692fd.jpg,https://icook.tw/recipes/279728
醋溜土豆絲 馬鈴薯絲 ～開胃小菜輕鬆做,{馬鈴薯一個去皮切絲:200g}{紅辣椒輪切:1條}{白醋(白酒醋):3~4大匙}{鰹魚粉:1/2小匙}{鹽:1/8小匙}{洋香菜葉末(巴西利末/可省略):1/8小匙}{油:1大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277533/large_ad7827d95c22da8b.jpg,https://icook.tw/recipes/277533
涼拌小黃瓜（快速不沾手）,{小黃瓜:1條}{蒜:4瓣}{薑:4片}{辣椒(大條的）:半條}{鹽:2小匙}{醋:1小匙}{糖:1小匙}{香油:2小匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/279536/large_76a4b2d6d91c9408.jpg,https://icook.tw/recipes/279536
烤箱版的豆乳雞,{去骨腿排:1個}{豆腐乳:2小塊}{味醂:2湯匙}{醬油:5湯匙}{辣椒:1根}{蒜頭:10g}{胡椒粉:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278224/large_ed406068a40af214.jpg,https://icook.tw/recipes/278224
滷白菜,{白菜:1顆}{紅蘿蔔:30公克}{黑木耳:100公克}{乾香菇:6公克}{蔥:二支}{乾蝦米:2大匙}{扁魚乾:20公克}{豬肉絲:150公克}{炸豬皮(蹦皮):35公克}{醬油:2大匙}{糖:1/2小匙}{鹽:1/2小匙}{白胡椒粉:1/4小匙}{香油:1/2小匙}{米酒:1小匙}{1小匙:1大匙}{太白粉:1大匙}{水:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/278016/large_f914cecbd0af0bf1.jpg,https://icook.tw/recipes/278016
白蘿蔔泡菜,{小白蘿蔔:2小條}{大辣椒:1條}{蒜頭:3瓣}{烏醋:4大匙}{糖:1大匙}{鹽:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/244312/large_0585a404992ddd0c.jpg,https://icook.tw/recipes/244312
蘿蔔滷肉,{豬五花:600g}{白蘿蔔:200g}{紅蘿蔔:100g}{蒜頭:5瓣}{醬油:5大匙}{紅冰糖:10g}{水:適量},https://tokyo-kitchen.icook.network/uploads/recipe/cover/277180/large_f5427f7c5c76d479.jpg,https://icook.tw/recipes/277180
滷牛腱,{牛腱肉:2大條}{蔥:一把}{薑:適量}{辣椒:4-5根}{蒜頭:5顆}{冰糖:1大匙}{醬油:3 大匙}{白胡椒粉:2茶匙}{八角.花椒:適量}{肉寇.草果:適量}{胡椒粒 .桂皮:少許},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276305/large_81f1a429e479e31a.jpg,https://icook.tw/recipes/276305
黃金泡菜 台式泡菜~高麗菜/養樂多版,{高麗菜切大片:1000g}{南瓜去皮切片蒸熟搗泥:50g}{紅辣椒切絲:2條}{紅蘿蔔絲:50g}{大蒜切末:30g}{養樂多一瓶:100ml}{白醋:100ml}{高麗菜脫水用的鹽:2大匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/276851/large_87bfd35d386355b1.jpg,https://icook.tw/recipes/276851
黃金菠菜蛋捲,{菠菜:150g}{海苔片:2片}{雞蛋:2顆}{鹽巴:1/6茶匙}{玉米粉水:1茶匙},https://tokyo-kitchen.icook.network/uploads/recipe/cover/275463/large_18c4cc1732880138.jpg,https://icook.tw/recipes/275463
